import time: self [us] | cumulative | imported package
import time:       462 |        692 |               sympy.polys.numberfields.modules
import time:       118 |        809 |             sympy.polys.numberfields.basis
import time:       172 |        172 |             sympy.polys.numberfields.primes
import time:       216 |        216 |               sympy.polys.numberfields.galois_resolvents
import time:       183 |        399 |             sympy.polys.numberfields.galoisgroups
import time:       130 |       7214 |           sympy.polys.numberfields
import time:       222 |        222 |               sympy.matrices.exceptions
import time:       157 |        157 |               sympy.matrices.kind
import time:       107 |        107 |                   sympy.matrices.utilities
import time:       174 |        174 |                   sympy.matrices.determinant
import time:       203 |        482 |                 sympy.matrices.decompositions
import time:       726 |        726 |                       sympy.tensor.indexed
import time:       200 |        200 |                       sympy.tensor.index_methods
import time:       279 |        279 |                       sympy.tensor.functions
import time:       323 |        323 |                             sympy.tensor.array.ndim_array
import time:        93 |        415 |                           sympy.tensor.array.mutable_ndim_array
import time:       316 |        731 |                         sympy.tensor.array.dense_ndim_array
import time:       259 |        259 |                         sympy.tensor.array.sparse_ndim_array
import time:       196 |        196 |                         sympy.tensor.array.arrayop
import time:       293 |        293 |                         sympy.tensor.array.array_comprehension
import time:       218 |       1695 |                       sympy.tensor.array
import time:       131 |       3029 |                     sympy.tensor
import time:        12 |       3040 |                   sympy.tensor.array
import time:       121 |        121 |                   sympy.matrices.reductions
import time:       509 |        509 |                                 sympy.polys.agca.ideals
import time:       438 |        946 |                               sympy.polys.agca.modules
import time:       228 |       1173 |                             sympy.polys.agca.homomorphisms
import time:        84 |       1257 |                           sympy.polys.agca
import time:       180 |       1437 |                         sympy.polys.agca.extensions
import time:       208 |       1644 |                       sympy.polys.matrices.eigen
import time:       316 |       1960 |                     sympy.matrices.eigen
import time:       147 |       2107 |                   sympy.matrices.solvers
import time:       137 |        137 |                   sympy.matrices.inverse
import time:        89 |         89 |                   sympy.matrices.subspaces
import time:        95 |         95 |                   sympy.matrices.graph
import time:      1271 |       6858 |                 sympy.matrices.matrixbase
import time:       262 |        262 |                 sympy.matrices.repmatrix
import time:       261 |       7861 |               sympy.matrices.dense
import time:       229 |        229 |               sympy.matrices.sparse
import time:        99 |         99 |               sympy.matrices.sparsetools
import time:        76 |         76 |                             sympy.strategies.util
import time:       141 |        216 |                           sympy.strategies.rl
import time:       112 |        112 |                             sympy.strategies.core
import time:        90 |        201 |                           sympy.strategies.traverse
import time:        81 |         81 |                           sympy.strategies.tools
import time:        96 |         96 |                               sympy.strategies.branch.core
import time:       128 |        223 |                             sympy.strategies.branch.traverse
import time:        78 |         78 |                             sympy.strategies.branch.tools
import time:       101 |        401 |                           sympy.strategies.branch
import time:       134 |       1031 |                         sympy.strategies
import time:       114 |        114 |                         sympy.matrices.expressions._shape
import time:       503 |        503 |                             sympy.matrices.expressions.special
import time:       213 |        716 |                           sympy.matrices.expressions.matpow
import time:       216 |        932 |                         sympy.matrices.expressions.inverse
import time:       181 |        181 |                         sympy.matrices.expressions.transpose
import time:       260 |        260 |                         sympy.matrices.expressions.permutation
import time:       447 |       2962 |                       sympy.matrices.expressions.matmul
import time:       355 |        355 |                       sympy.matrices.expressions.matadd
import time:       352 |        352 |                       sympy.matrices.expressions.determinant
import time:      1452 |       5119 |                     sympy.matrices.expressions.matexpr
import time:       221 |       5339 |                   sympy.matrices.expressions.slice
import time:       211 |        211 |                     sympy.matrices.expressions.trace
import time:       508 |        718 |                   sympy.matrices.expressions.blockmatrix
import time:       165 |        165 |                   sympy.matrices.expressions.companion
import time:       174 |        174 |                   sympy.matrices.expressions.funcmatrix
import time:       163 |        163 |                   sympy.matrices.expressions.adjoint
import time:       288 |        288 |                   sympy.matrices.expressions.hadamard
import time:       354 |        354 |                   sympy.matrices.expressions.diagonal
import time:       145 |        145 |                   sympy.matrices.expressions.dotproduct
import time:       264 |        264 |                   sympy.matrices.expressions.kronecker
import time:       162 |        162 |                   sympy.matrices.expressions.sets
import time:       200 |       7967 |                 sympy.matrices.expressions
import time:       732 |       8699 |               sympy.matrices.immutable
import time:       165 |      17430 |             sympy.matrices
import time:       146 |      17576 |           sympy.polys.partfrac
import time:       284 |        284 |           sympy.polys.fields
import time:       212 |     122564 |         sympy.polys
import time:       279 |        279 |           sympy.series.order
import time:       148 |        148 |                 sympy.calculus.euler
import time:       125 |        125 |                 sympy.calculus.singularities
import time:       136 |        136 |                 sympy.calculus.finite_diff
import time:       540 |        540 |                   sympy.calculus.accumulationbounds
import time:       221 |        760 |                 sympy.calculus.util
import time:       181 |       1349 |               sympy.calculus
import time:        12 |       1360 |             sympy.calculus.accumulationbounds
import time:       227 |        227 |             sympy.series.gruntz
import time:       205 |       1791 |           sympy.series.limits
import time:        77 |         77 |           sympy.series.series
import time:        83 |         83 |           sympy.series.approximants
import time:        77 |         77 |           sympy.series.residues
import time:       821 |        821 |           sympy.series.sequences
import time:       165 |        165 |             sympy.series.series_class
import time:       311 |        476 |           sympy.series.fourier
import time:       149 |        149 |                 sympy.discrete.transforms
import time:       104 |        104 |                 sympy.discrete.convolutions
import time:       106 |        358 |               sympy.discrete
import time:        13 |        371 |             sympy.discrete.convolutions
import time:       856 |       1226 |           sympy.series.formal
import time:       118 |        118 |           sympy.series.limitseq
import time:       173 |       5116 |         sympy.series
import time:       352 |        352 |               sympy.concrete.expr_with_limits
import time:       178 |        530 |             sympy.concrete.expr_with_intlimits
import time:        94 |         94 |               sympy.concrete.gosper
import time:       121 |        121 |                     sympy.integrals.rationaltools
import time:        95 |         95 |                     sympy.integrals.deltafunctions
import time:       546 |        546 |                     sympy.integrals.meijerint
import time:       117 |        117 |                     sympy.integrals.trigonometry
import time:       423 |       1299 |                   sympy.integrals.integrals
import time:        74 |         74 |                           sympy.polys.domainmatrix
import time:       223 |        297 |                         sympy.polys.solvers
import time:       201 |        497 |                       sympy.polys.matrices.linsolve
import time:       800 |       1296 |                     sympy.integrals.laplace
import time:      2253 |       3549 |                   sympy.integrals.transforms
import time:        87 |         87 |                   sympy.integrals.singularityfunctions
import time:       108 |       5041 |                 sympy.integrals
import time:        11 |       5052 |               sympy.integrals.integrals
import time:       403 |       5548 |             sympy.concrete.summations
import time:       252 |       6330 |           sympy.concrete.products
import time:        92 |       6422 |         sympy.concrete
import time:       251 |        251 |               sympy.simplify.gammasimp
import time:       104 |        354 |             sympy.simplify.combsimp
import time:        89 |         89 |             sympy.simplify.cse_opts
import time:       164 |        164 |               sympy.simplify.powsimp
import time:       793 |        956 |             sympy.simplify.hyperexpand
import time:       175 |        175 |               sympy.simplify.sqrtdenest
import time:       205 |        380 |             sympy.simplify.radsimp
import time:       209 |        209 |               sympy.simplify.cse_main
import time:        90 |         90 |               sympy.strategies.tree
import time:       345 |        643 |             sympy.simplify.trigsimp
import time:       418 |       2838 |           sympy.simplify.simplify
import time:       360 |        360 |           sympy.simplify.fu
import time:       170 |        170 |           sympy.simplify.epathtools
import time:       106 |        106 |           sympy.simplify.ratsimp
import time:       138 |       3610 |         sympy.simplify
import time:       200 |        200 |             sympy.solvers.polysys
import time:       192 |        192 |             sympy.solvers.bivariate
import time:       620 |       1012 |           sympy.solvers.solvers
import time:       594 |        594 |                 sympy.solvers.solveset
import time:       703 |       1297 |               sympy.solvers.diophantine.diophantine
import time:        93 |       1389 |             sympy.solvers.diophantine
import time:        12 |       1401 |           sympy.solvers.diophantine.diophantine
import time:       160 |        160 |           sympy.solvers.recurr
import time:       111 |        111 |               sympy.solvers.deutils
import time:       156 |        156 |                 sympy.solvers.ode.riccati
import time:       167 |        167 |                 sympy.solvers.ode.hypergeometric
import time:       123 |        123 |                   sympy.solvers.ode.subscheck
import time:       153 |        276 |                 sympy.solvers.ode.nonhomogeneous
import time:       145 |        145 |                   sympy.solvers.pde
import time:       205 |        349 |                 sympy.solvers.ode.lie_group
import time:       685 |       1631 |               sympy.solvers.ode.single
import time:       670 |       2411 |             sympy.solvers.ode.ode
import time:       471 |        471 |             sympy.solvers.ode.systems
import time:       104 |       2985 |           sympy.solvers.ode
import time:       177 |        177 |           sympy.solvers.inequalities
import time:        87 |         87 |           sympy.solvers.decompogen
import time:       196 |        196 |           sympy.solvers.simplex
import time:       156 |       6171 |         sympy.solvers
import time:        89 |         89 |             sympy.geometry.exceptions
import time:      4020 |       4020 |               sympy.sets.handlers.intersection
import time:      1786 |       1786 |               sympy.sets.handlers.union
import time:      1237 |       7041 |             sympy.geometry.entity
import time:       498 |       7627 |           sympy.geometry.point
import time:       160 |        160 |             sympy.geometry.util
import time:      1175 |       1335 |           sympy.geometry.line
import time:       308 |        308 |           sympy.geometry.plane
import time:       629 |        629 |             sympy.geometry.polygon
import time:      1038 |       1666 |           sympy.geometry.ellipse
import time:       259 |        259 |           sympy.geometry.curve
import time:       193 |        193 |           sympy.geometry.parabola
import time:       165 |      11550 |         sympy.geometry
import time:       418 |        418 |           sympy.parsing.sympy_parser
import time:       110 |        528 |         sympy.parsing
import time:       377 |        377 |           sympy.algebras.quaternion
import time:       102 |        478 |         sympy.algebras
import time:        80 |         80 |               sympy.plotting.backends
import time:       124 |        124 |                 sympy.plotting.utils
import time:       104 |        104 |                     sympy.plotting.intervalmath.interval_membership
import time:       219 |        322 |                   sympy.plotting.intervalmath.interval_arithmetic
import time:       122 |        122 |                   sympy.plotting.intervalmath.lib_interval
import time:       100 |        544 |                 sympy.plotting.intervalmath
import time:       770 |       1437 |               sympy.plotting.series
import time:       181 |       1697 |             sympy.plotting.backends.base_backend
import time:       184 |        184 |               sympy.plotting.backends.matplotlibbackend.matplotlib
import time:        94 |        278 |             sympy.plotting.backends.matplotlibbackend
import time:        91 |         91 |                 sympy.plotting.textplot
import time:       142 |        233 |               sympy.plotting.backends.textbackend.text
import time:        90 |        323 |             sympy.plotting.backends.textbackend
import time:       111 |        111 |             sympy.plotting.plotgrid
import time:       296 |       2702 |           sympy.plotting.plot
import time:       110 |        110 |           sympy.plotting.plot_implicit
import time:        88 |         88 |           sympy.plotting.pygletplot
import time:       118 |       3016 |         sympy.plotting
import time:       249 |        249 |           sympy.interactive.printing
import time:       131 |        131 |           sympy.interactive.session
import time:        88 |         88 |           sympy.interactive.traversal
import time:       107 |        574 |         sympy.interactive
import time:       802 |     205249 |       sympy
import time:       917 |     206165 |     torch._prims_common
import time:       525 |     206836 |   torch.masked._ops
import time:       212 |     211101 | torch.masked
import time:        88 |         88 |     torch.fx.experimental
import time:       250 |        250 |             unittest.util
import time:       269 |        519 |           unittest.result
import time:       364 |        364 |             pprint
import time:       608 |        972 |           unittest.case
import time:       214 |        214 |           unittest.suite
import time:       588 |        588 |           unittest.loader
import time:       204 |        204 |               unittest.signals
import time:       212 |        415 |             unittest.runner
import time:       196 |        610 |           unittest.main
import time:       284 |       3186 |         unittest
import time:      1222 |       4407 |       unittest.mock
import time:       211 |        211 |       torch.utils._traceback
import time:      3476 |       8093 |     torch._guards
import time:       146 |        146 |       torch.utils._sympy
import time:      1316 |       1461 |     torch.utils._sympy.functions
import time:       298 |        298 |     torch.utils._sympy.solve
import time:       199 |        199 |       torch.utils._sympy.interp
import time:      1153 |       1351 |     torch.utils._sympy.value_ranges
import time:      5440 |      16729 |   torch.fx.experimental.symbolic_shapes
import time:        81 |         81 |               torch._dispatch
import time:       221 |        301 |             torch._dispatch.python
import time:       358 |        659 |           torch.fx.passes.shape_prop
import time:       127 |        127 |           pydot
import time:       280 |       1065 |         torch.fx.passes.graph_drawer
import time:       252 |        252 |         torch.fx.passes.graph_manipulation
import time:       782 |        782 |                 torch.fx.passes.utils.matcher_utils
import time:       190 |        971 |               torch.fx.passes.utils.common
import time:        87 |       1058 |             torch.fx.passes.utils
import time:       625 |        625 |             torch.fx.passes.tools_common
import time:       621 |       2303 |           torch.fx.passes.split_utils
import time:       586 |       2888 |         torch.fx.passes.net_min_base
import time:       349 |        349 |         torch.fx.passes.operator_support
import time:       180 |        180 |         torch.fx.passes.param_fetch
import time:       169 |        169 |                 torch._custom_op
import time:      1795 |       1795 |                     torch._logging._internal
import time:       141 |       1935 |                   torch._logging._registrations
import time:        89 |       2024 |                 torch._logging
import time:       253 |        253 |                   torch.utils.weak
import time:       230 |        482 |                 torch._subclasses.meta_utils
import time:        96 |         96 |                 torch.utils._mode_utils
import time:        94 |         94 |                 torch.utils._stats
import time:      3149 |       6011 |               torch._subclasses.fake_tensor
import time:       169 |        169 |               torch._subclasses.fake_utils
import time:       116 |       6295 |             torch._subclasses
import time:        12 |       6307 |           torch._subclasses.fake_tensor
import time:       733 |       7040 |         torch.fx.passes.reinplace
import time:       324 |        324 |         torch.fx.passes.split_module
import time:       854 |        854 |         torch.fx.passes.splitter_base
import time:       292 |      13241 |       torch.fx.passes
import time:       216 |        216 |         torch.fx.passes.infra.pass_base
import time:       367 |        583 |       torch.fx.passes.infra.pass_manager
import time:       119 |      13941 |     torch.fx.passes.infra
import time:        16 |      13956 |   torch.fx.passes.infra.pass_base
import time:      2868 |      33552 | torch.export
import time:       420 |        420 | torch.return_types
import time:       124 |        124 |               torchgen
import time:       615 |        615 |                 torchgen.code_template
import time:      1221 |       1835 |               torchgen.utils
import time:     14816 |      16775 |             torchgen.model
import time:       221 |        221 |             torch._custom_op.autograd
import time:       884 |      17879 |           torch._custom_op.impl
import time:       198 |        198 |           torch.utils._content_store
import time:       149 |      18225 |         torch._prims.debug_prims
import time:       147 |        147 |             torch._higher_order_ops
import time:       144 |        290 |           torch._higher_order_ops.utils
import time:       258 |        258 |           torch._prims_common.wrappers
import time:       888 |        888 |           torch.fx.experimental.proxy_tensor
import time:       700 |       2135 |         torch._prims.rng_prims
import time:    113848 |     134206 |       torch._prims
import time:     14713 |     148919 |     torch._decomp.decompositions
import time:       566 |        566 |       torch._refs._conversions
import time:      2674 |       2674 |       torch._refs.fft
import time:       545 |        545 |       torch._refs.linalg
import time:        96 |         96 |         torch._refs.nn
import time:      3088 |       3183 |       torch._refs.nn.functional
import time:      1885 |       1885 |       torch._refs.special
import time:     32498 |      41349 |     torch._refs
import time:       285 |     190551 |   torch._decomp
import time:     51099 |     241649 | torch._meta_registrations
import time:       276 |        276 |     torch.fx.experimental.const_fold
import time:       721 |        997 |   torch._functorch.eager_transforms
import time:       228 |        228 |   torch._functorch.functional_call
import time:       118 |        118 |   torch._functorch.batch_norm_replacement
import time:       211 |       1552 | torch.func
import time:       111 |        111 | torch.compiler
import time:      1049 |       1049 | atria_datasets.core.dataset.atria_huggingface_dataset
import time:       148 |        148 |   pydantic._internal._dataclasses
import time:       215 |        362 | pydantic.dataclasses
import time:      1048 |       1048 | atria_models.core.local_model
import time:       262 |        262 | atria_models.core.timm_model
import time:       810 |        810 |   atria_models.utilities.nn_modules
import time:       242 |       1051 | atria_models.core.torchvision_model
import time:       317 |        317 | atria_models.core.transformers_model
import time:       258 |        258 | atria_models.pipelines.classification.base
[2025-07-25 01:53:09][atria_ml.task_pipelines._trainer][INFO] Initializing runtime environment...
import time:       123 |        123 |     ignite.contrib
import time:       489 |        489 |             ignite.distributed.comp_models.base
import time:       111 |        111 |                 horovod
import time:        15 |        125 |               horovod.torch
import time:       158 |        283 |             ignite.distributed.comp_models.horovod
import time:       414 |        414 |             ignite.distributed.comp_models.native
import time:       100 |        100 |               torch_xla
import time:       140 |        239 |             ignite.distributed.comp_models.xla
import time:       240 |       1663 |           ignite.distributed.comp_models
import time:       492 |        492 |           ignite.utils
import time:       352 |       2505 |         ignite.distributed.utils
import time:       256 |       2760 |       ignite.distributed.auto
import time:       128 |        128 |       ignite.distributed.launcher
import time:       101 |       2989 |     ignite.distributed
import time:       121 |        121 |             ignite.base.mixins
import time:       107 |        228 |           ignite.base
import time:       115 |        115 |             ignite.engine.utils
import time:       733 |        847 |           ignite.engine.events
import time:       439 |       1513 |         ignite.engine.engine
import time:       218 |       1731 |       ignite.engine.deterministic
import time:        78 |         78 |               ignite.exceptions
import time:       496 |        496 |                 ignite.metrics.metric
import time:       218 |        713 |               ignite.metrics.epoch_metric
import time:       114 |        904 |             ignite.metrics.clustering._base
import time:       144 |       1047 |           ignite.metrics.clustering.calinski_harabasz_score
import time:       112 |        112 |           ignite.metrics.clustering.davies_bouldin_score
import time:       109 |        109 |           ignite.metrics.clustering.silhouette_score
import time:       160 |       1427 |         ignite.metrics.clustering
import time:       115 |        115 |             ignite.metrics.regression._base
import time:       177 |        292 |           ignite.metrics.regression.canberra_metric
import time:       123 |        123 |           ignite.metrics.regression.fractional_absolute_error
import time:       112 |        112 |           ignite.metrics.regression.fractional_bias
import time:       108 |        108 |           ignite.metrics.regression.geometric_mean_absolute_error
import time:       117 |        117 |           ignite.metrics.regression.geometric_mean_relative_absolute_error
import time:       150 |        150 |           ignite.metrics.regression.kendall_correlation
import time:       135 |        135 |           ignite.metrics.regression.manhattan_distance
import time:       108 |        108 |           ignite.metrics.regression.maximum_absolute_error
import time:       106 |        106 |           ignite.metrics.regression.mean_absolute_relative_error
import time:       105 |        105 |           ignite.metrics.regression.mean_error
import time:       113 |        113 |           ignite.metrics.regression.mean_normalized_bias
import time:       103 |        103 |           ignite.metrics.regression.median_absolute_error
import time:       104 |        104 |           ignite.metrics.regression.median_absolute_percentage_error
import time:       108 |        108 |           ignite.metrics.regression.median_relative_absolute_error
import time:       175 |        175 |           ignite.metrics.regression.pearson_correlation
import time:       176 |        176 |           ignite.metrics.regression.r2_score
import time:       121 |        121 |           ignite.metrics.regression.spearman_correlation
import time:       109 |        109 |           ignite.metrics.regression.wave_hedges_distance
import time:       288 |       2643 |         ignite.metrics.regression
import time:       216 |        216 |         ignite.metrics.accumulation
import time:       180 |        180 |         ignite.metrics.accuracy
import time:       153 |        153 |         ignite.metrics.average_precision
import time:       158 |        158 |             ignite.metrics.metrics_lambda
import time:       228 |        228 |             ignite.metrics.precision
import time:       147 |        147 |             ignite.metrics.recall
import time:       163 |        693 |           ignite.metrics.fbeta
import time:       153 |        846 |         ignite.metrics.classification_report
import time:       155 |        155 |         ignite.metrics.cohen_kappa
import time:       192 |        192 |         ignite.metrics.confusion_matrix
import time:      1264 |       1264 |         ignite.metrics.cosine_similarity
import time:       127 |        127 |         ignite.metrics.entropy
import time:       178 |        178 |                   torch.distributed.optim.apply_optimizer_in_backward
import time:     83339 |      83339 |                   torch.distributed.optim.functional_adadelta
import time:     14862 |      14862 |                   torch.distributed.optim.functional_adagrad
import time:     26977 |      26977 |                   torch.distributed.optim.functional_adam
import time:     15318 |      15318 |                   torch.distributed.optim.functional_adamax
import time:     26317 |      26317 |                   torch.distributed.optim.functional_adamw
import time:     14180 |      14180 |                   torch.distributed.optim.functional_rmsprop
import time:     11545 |      11545 |                   torch.distributed.optim.functional_rprop
import time:     14942 |      14942 |                   torch.distributed.optim.functional_sgd
import time:       397 |        397 |                                   torch.distributed._shard.metadata
import time:       215 |        612 |                                 torch.distributed._shard.sharding_spec._internals
import time:       824 |        824 |                                 torch.distributed._shard.sharded_tensor.metadata
import time:        86 |         86 |                                   torch.distributed._shard.common_op_utils
import time:       161 |        246 |                                 torch.distributed._shard.op_registry_utils
import time:       846 |       2527 |                               torch.distributed._shard.sharding_spec.api
import time:       415 |        415 |                                 torch.distributed._shard.sharded_tensor.shard
import time:       408 |        408 |                                 torch.distributed._shard.sharded_tensor.utils
import time:       165 |        165 |                                 torch.distributed._shard._utils
import time:       663 |       1649 |                               torch.distributed._shard.sharding_spec.chunk_sharding_spec
import time:       120 |       4295 |                             torch.distributed._shard.sharding_spec
import time:       110 |        110 |                                       torch.distributed.nn.api
import time:        95 |         95 |                                       torch.distributed.nn.jit
import time:        86 |         86 |                                           torch.distributed.nn.jit.templates
import time:       109 |        195 |                                         torch.distributed.nn.jit.templates.remote_module_template
import time:       310 |        505 |                                       torch.distributed.nn.jit.instantiator
import time:      2481 |       3188 |                                     torch.distributed.nn.api.remote_module
import time:       348 |        348 |                                     torch.distributed.nn.functional
import time:       146 |       3682 |                                   torch.distributed.nn
import time:        12 |       3693 |                                 torch.distributed.nn.functional
import time:       296 |       3989 |                               torch.distributed._shard.sharded_tensor.reshard
import time:       823 |       4812 |                             torch.distributed._shard.sharded_tensor.api
import time:       425 |        425 |                               torch.distributed._shard.sharded_tensor._ops.misc_ops
import time:       147 |        147 |                                 torch.distributed._shard.sharded_tensor._ops._common
import time:       721 |        868 |                               torch.distributed._shard.sharded_tensor._ops.tensor_ops
import time:       192 |        192 |                               torch.distributed._shard.sharded_tensor._ops.binary_cmp
import time:       483 |        483 |                               torch.distributed._shard.sharded_tensor._ops.init
import time:       222 |        222 |                                 torch.distributed._shard.sharding_spec.chunk_sharding_spec_ops
import time:       184 |        184 |                                 torch.distributed._shard.sharding_spec.chunk_sharding_spec_ops._common
import time:       236 |        641 |                               torch.distributed._shard.sharding_spec.chunk_sharding_spec_ops.embedding
import time:       187 |        187 |                               torch.distributed._shard.sharding_spec.chunk_sharding_spec_ops.embedding_bag
import time:       188 |       2981 |                             torch.distributed._shard.sharded_tensor._ops
import time:       161 |      12247 |                           torch.distributed._shard.sharded_tensor
import time:       108 |        108 |                               torch.distributed._shard.sharder
import time:       454 |        561 |                             torch.distributed._shard.sharding_plan.api
import time:       122 |        683 |                           torch.distributed._shard.sharding_plan
import time:       183 |      13112 |                         torch.distributed._shard.api
import time:        95 |      13207 |                       torch.distributed._shard
import time:        12 |      13218 |                     torch.distributed._shard.sharded_tensor
import time:       119 |        119 |                           torch.distributed._composable_state
import time:       242 |        242 |                                         torch.distributed._functional_collectives_impl
import time:       418 |        418 |                                                 torch._functorch.make_functional
import time:       239 |        656 |                                               torch._functorch.deprecated
import time:        71 |         71 |                                                 torch._dynamo.external_utils
import time:       126 |        126 |                                                 torch.onnx._deprecation
import time:        77 |         77 |                                                   torch.onnx._constants
import time:        78 |         78 |                                                   torch.onnx._internal
import time:       161 |        161 |                                                               beartype
import time:       655 |        816 |                                                             torch.onnx._internal._beartype
import time:       361 |        361 |                                                                 torch.onnx._internal.diagnostics.infra.sarif._property_bag
import time:       735 |       1095 |                                                               torch.onnx._internal.diagnostics.infra.sarif._address
import time:       368 |        368 |                                                                   torch.onnx._internal.diagnostics.infra.sarif._multiformat_message_string
import time:       363 |        730 |                                                                 torch.onnx._internal.diagnostics.infra.sarif._artifact_content
import time:       360 |        360 |                                                                   torch.onnx._internal.diagnostics.infra.sarif._message
import time:       382 |        741 |                                                                 torch.onnx._internal.diagnostics.infra.sarif._artifact_location
import time:       707 |       2177 |                                                               torch.onnx._internal.diagnostics.infra.sarif._artifact
import time:       519 |        519 |                                                                   torch.onnx._internal.diagnostics.infra.sarif._region
import time:       304 |        823 |                                                                 torch.onnx._internal.diagnostics.infra.sarif._replacement
import time:       366 |       1188 |                                                               torch.onnx._internal.diagnostics.infra.sarif._artifact_change
import time:       384 |        384 |                                                                 torch.onnx._internal.diagnostics.infra.sarif._rectangle
import time:       409 |        793 |                                                               torch.onnx._internal.diagnostics.infra.sarif._attachment
import time:       360 |        360 |                                                                       torch.onnx._internal.diagnostics.infra.sarif._location_relationship
import time:       465 |        465 |                                                                       torch.onnx._internal.diagnostics.infra.sarif._logical_location
import time:       375 |        375 |                                                                       torch.onnx._internal.diagnostics.infra.sarif._physical_location
import time:       451 |       1649 |                                                                     torch.onnx._internal.diagnostics.infra.sarif._location
import time:       325 |        325 |                                                                       torch.onnx._internal.diagnostics.infra.sarif._tool_component_reference
import time:       376 |        701 |                                                                     torch.onnx._internal.diagnostics.infra.sarif._reporting_descriptor_reference
import time:       363 |        363 |                                                                       torch.onnx._internal.diagnostics.infra.sarif._stack_frame
import time:       325 |        688 |                                                                     torch.onnx._internal.diagnostics.infra.sarif._stack
import time:       478 |        478 |                                                                     torch.onnx._internal.diagnostics.infra.sarif._web_request
import time:       568 |        568 |                                                                     torch.onnx._internal.diagnostics.infra.sarif._web_response
import time:       654 |       4735 |                                                                   torch.onnx._internal.diagnostics.infra.sarif._thread_flow_location
import time:       382 |       5116 |                                                                 torch.onnx._internal.diagnostics.infra.sarif._thread_flow
import time:       357 |       5473 |                                                               torch.onnx._internal.diagnostics.infra.sarif._code_flow
import time:       357 |        357 |                                                                 torch.onnx._internal.diagnostics.infra.sarif._reporting_configuration
import time:       359 |        715 |                                                               torch.onnx._internal.diagnostics.infra.sarif._configuration_override
import time:       416 |        416 |                                                                     torch.onnx._internal.diagnostics.infra.sarif._exception
import time:       458 |        874 |                                                                   torch.onnx._internal.diagnostics.infra.sarif._notification
import time:       939 |       1812 |                                                                 torch.onnx._internal.diagnostics.infra.sarif._invocation
import time:       346 |        346 |                                                                       torch.onnx._internal.diagnostics.infra.sarif._reporting_descriptor_relationship
import time:       579 |        924 |                                                                     torch.onnx._internal.diagnostics.infra.sarif._reporting_descriptor
import time:       409 |        409 |                                                                     torch.onnx._internal.diagnostics.infra.sarif._translation_metadata
import time:       955 |       2288 |                                                                   torch.onnx._internal.diagnostics.infra.sarif._tool_component
import time:       321 |       2608 |                                                                 torch.onnx._internal.diagnostics.infra.sarif._tool
import time:       402 |       4821 |                                                               torch.onnx._internal.diagnostics.infra.sarif._conversion
import time:       398 |        398 |                                                               torch.onnx._internal.diagnostics.infra.sarif._edge
import time:       441 |        441 |                                                               torch.onnx._internal.diagnostics.infra.sarif._edge_traversal
import time:       364 |        364 |                                                                   torch.onnx._internal.diagnostics.infra.sarif._node
import time:       326 |        690 |                                                                 torch.onnx._internal.diagnostics.infra.sarif._graph
import time:       406 |        406 |                                                                   torch.onnx._internal.diagnostics.infra.sarif._fix
import time:       417 |        417 |                                                                   torch.onnx._internal.diagnostics.infra.sarif._graph_traversal
import time:       423 |        423 |                                                                   torch.onnx._internal.diagnostics.infra.sarif._result_provenance
import time:       376 |        376 |                                                                   torch.onnx._internal.diagnostics.infra.sarif._suppression
import time:      1072 |       2692 |                                                                 torch.onnx._internal.diagnostics.infra.sarif._result
import time:       816 |       4197 |                                                               torch.onnx._internal.diagnostics.infra.sarif._external_properties
import time:       378 |        378 |                                                               torch.onnx._internal.diagnostics.infra.sarif._external_property_file_reference
import time:       716 |        716 |                                                               torch.onnx._internal.diagnostics.infra.sarif._external_property_file_references
import time:       350 |        350 |                                                                 torch.onnx._internal.diagnostics.infra.sarif._run_automation_details
import time:       293 |        293 |                                                                 torch.onnx._internal.diagnostics.infra.sarif._special_locations
import time:       408 |        408 |                                                                 torch.onnx._internal.diagnostics.infra.sarif._version_control_details
import time:      1013 |       2063 |                                                               torch.onnx._internal.diagnostics.infra.sarif._run
import time:       410 |        410 |                                                               torch.onnx._internal.diagnostics.infra.sarif._sarif_log
import time:       494 |      25353 |                                                             torch.onnx._internal.diagnostics.infra.sarif
import time:       165 |      26333 |                                                           torch.onnx._internal.diagnostics.infra.formatter
import time:      2851 |      29183 |                                                         torch.onnx._internal.diagnostics.infra._infra
import time:       112 |        112 |                                                           torch.onnx._internal.diagnostics.infra.utils
import time:        83 |         83 |                                                           torch.onnx._internal.diagnostics.infra.sarif.version
import time:      1580 |       1774 |                                                         torch.onnx._internal.diagnostics.infra.context
import time:       137 |      31093 |                                                       torch.onnx._internal.diagnostics.infra
import time:       292 |      31385 |                                                     torch.onnx._internal.diagnostics._diagnostic
import time:       694 |        694 |                                                     torch.onnx._internal.diagnostics._rules
import time:       149 |      32227 |                                                   torch.onnx._internal.diagnostics
import time:       176 |      32557 |                                                 torch.onnx.errors
import time:       444 |        444 |                                                     torch.onnx._type_utils
import time:       124 |        124 |                                                     torch.onnx._globals
import time:       320 |        320 |                                                       torch.onnx._internal.registration
import time:       635 |        955 |                                                     torch.onnx._internal.jit_utils
import time:       598 |       2119 |                                                   torch.onnx.symbolic_helper
import time:      3089 |       3089 |                                                   torch.onnx.symbolic_opset9
import time:       239 |       5446 |                                                 torch.onnx.symbolic_caffe2
