import time: self [us] | cumulative | imported package
import time:       615 |       3564 |                 hydra.plugins.config_source
import time:       427 |       4137 |               hydra.core.config_store
import time:       645 |        645 |               hydra.types
import time:     11760 |      16542 |             hydra.conf
import time:       109 |      16651 |           hydra.core.hydra_config
import time:       747 |      19674 |         hydra.core.utils
import time:       267 |      21866 |       hydra._internal.utils
import time:       360 |      50000 |     hydra._internal.instantiate._instantiate2
import time:       158 |      54082 |   hydra.utils
import time:       137 |        137 |   hydra.main
import time:       128 |        128 |         hydra.core.config_loader
import time:       267 |        267 |           pkgutil
import time:        32 |         32 |             gc
import time:       257 |        289 |           timeit
import time:       125 |        125 |           hydra._internal.sources_registry
import time:       199 |        199 |           hydra.plugins.completion_plugin
import time:       127 |        127 |           hydra.plugins.launcher
import time:        89 |         89 |           hydra.plugins.search_path_plugin
import time:       119 |        119 |           hydra.plugins.sweeper
import time:       597 |       1808 |         hydra.core.plugins
import time:       105 |        105 |         hydra._internal.callbacks
import time:       540 |        540 |           hydra._internal.config_repository
import time:        82 |         82 |               hydra.core.override_parser
import time:        79 |         79 |                 hydra._internal.grammar
import time:       233 |        312 |               hydra._internal.grammar.utils
import time:      3467 |       3860 |             hydra.core.override_parser.types
import time:      1629 |       5489 |           hydra._internal.defaults_list
import time:       290 |        290 |             hydra._internal.grammar.grammar_functions
import time:       661 |        661 |             hydra._internal.grammar.functions
import time:        81 |         81 |                   hydra.grammar
import time:       109 |        190 |                 hydra.grammar.gen
import time:      2050 |       2239 |               hydra.grammar.gen.OverrideLexer
import time:      1264 |       1264 |               hydra.grammar.gen.OverrideParser
import time:       138 |        138 |               hydra.grammar.gen.OverrideParserVisitor
import time:       324 |       3964 |             hydra.core.override_parser.overrides_visitor
import time:       166 |       5079 |           hydra.core.override_parser.overrides_parser
import time:       273 |      11379 |         hydra._internal.config_loader_impl
import time:      1003 |      14423 |       hydra._internal.hydra
import time:       111 |      14534 |     hydra.core.global_hydra
import time:        99 |      14632 |   hydra.compose
import time:       160 |        160 |   hydra.initialize
import time:       147 |      69156 | hydra
import time:       600 |        600 |         _hashlib
import time:        39 |         39 |         _blake2
import time:       210 |        848 |       hashlib
import time:       177 |       1025 |     codename.codename
import time:       119 |       1143 |   codename
import time:       177 |       1320 | atria_core.utilities.yaml_resolvers
import time:       137 |        137 | antlr4.LL1Analyzer
import time:       134 |        134 |     importlib.resources._itertools
import time:       199 |        333 |   importlib.resources.readers
import time:       104 |        436 | importlib.readers
import time:       114 |        114 | omegaconf._impl
import time:       100 |        100 |   atria_metrics.registry.module_registry
import time:       136 |        235 | atria_metrics.registry
import time:       176 |        176 | lazy_loader
import time:       109 |        109 |     atria_models.registry.registry_groups
import time:       116 |        225 |   atria_models.registry.module_registry
import time:       166 |        390 | atria_models.registry
import time:        93 |         93 |     atria_datasets.registry.registry_groups
import time:       116 |        208 |   atria_datasets.registry.module_registry
import time:       133 |        341 | atria_datasets.registry
import time:        83 |         83 |     atria_transforms.registry.registry_groups
import time:       103 |        186 |   atria_transforms.registry.module_registry
import time:       126 |        312 | atria_transforms.registry
import time:       140 |        140 |   pydantic._internal._validate_call
import time:       420 |        560 | atria_core.utilities.pydantic
import time:       230 |        230 |           hydra_zen._compatibility
import time:       140 |        140 |           hydra_zen.errors
import time:      1903 |       1903 |                 hydra_zen.typing._implementations
import time:       106 |       2009 |               hydra_zen.typing
import time:       310 |       2318 |             hydra_zen.structured_configs._utils
import time:       234 |       2552 |           hydra_zen.funcs
import time:        82 |         82 |             hydra_zen.structured_configs._globals
import time:       314 |        395 |           hydra_zen.structured_configs._type_guards
import time:      5665 |       8980 |         hydra_zen.structured_configs._implementations
import time:       207 |        207 |         hydra_zen.structured_configs._just
import time:       156 |        156 |         hydra_zen.structured_configs._make_config
import time:      1150 |       1150 |           hydra_zen.typing._builds_overloads
import time:       480 |       1630 |         hydra_zen.structured_configs._make_custom_builds
import time:       124 |      11094 |       hydra_zen.structured_configs
import time:        17 |      11111 |     hydra_zen.structured_configs._implementations
